date,noeggs,temperature,age,weather,breed
3/1/24,1320,29,,,
3/2/24,1355,28.5,,,
3/3/24,1348,28,,,
3/4/24,1360,29,,,
3/5/24,1353,30,,,
3/6/24,1363,29.5,,,
3/7/24,1377,30,,,
3/8/24,1371,29.5,,,
3/9/24,1374,29,,,
3/10/24,1349,29.5,,,
3/11/24,1347,28.5,,,
3/12/24,1349,29.5,,,
3/13/24,1328,30,,,
3/14/24,1348,30,,,
3/15/24,1332,29,,,
3/16/24,1318,30,,,
3/17/24,1350,29.5,,,
3/18/24,1325,29.5,,,
3/19/24,1312,29,,,
3/20/24,1314,29,,,
3/21/24,1327,27.5,,,
3/22/24,1315,27.5,,,
3/23/24,1340,29.5,,,
3/24/24,1345,29.5,,,
3/25/24,1337,30.5,,,
3/26/24,1336,30.5,,,
3/27/24,1328,31,,,
3/28/24,1323,31.5,,,
3/29/24,1307,31.5,,,
3/30/24,1315,30.5,,,
3/31/24,1315,29.5,,,
4/1/24,1301,31.5,,,
4/2/24,1280,31.5,,,
4/3/24,1279,31,,,
4/4/24,1267,31.5,,,
4/5/24,1257,30.5,,,
4/6/24,1253,30.5,,,
4/7/24,1261,30.5,,,
4/8/24,1245,30.5,,,
4/9/24,1263,30.5,,,
4/10/24,1260,31,,,
4/11/24,1240,31.5,,,
4/12/24,1263,31,,,
4/13/24,1236,30.5,,,
4/14/24,1222,31.5,,,
4/15/24,1229,32.5,,,
4/16/24,1238,32,,,
4/17/24,1193,31.5,,,
4/18/24,1201,32.5,,,
4/19/24,1215,31.5,,,
4/20/24,1184,31.5,,,
4/21/24,1190,32,,,
4/22/24,1173,32,,,
4/23/24,1176,33,,,
4/24/24,1177,33.5,,,
4/25/24,1174,34,,,
4/26/24,1149,33.5,,,
4/27/24,1155,33,,,
4/28/24,1117,32.5,,,
4/29/24,1127,33,,,
4/30/24,1117,32.5,,,
5/1/24,1058,33,,,
5/2/24,1063,33,,,
5/3/24,1067,32,,,
5/4/24,1065,32.5,,,
5/5/24,1032,32,,,
5/6/24,1091,32.5,,,
5/7/24,1037,32.5,,,
5/8/24,1047,32,,,
5/9/24,1066,33,,,
5/10/24,1072,32.5,,,
5/11/24,1050,32.5,,,
5/12/24,1072,33,,,
5/13/24,1053,31.5,,,
5/14/24,1049,30,,,
5/15/24,1050,33,,,
5/16/24,1046,32.5,,,
5/17/24,1031,31.5,,,
5/18/24,1047,32,,,
5/19/24,1043,31.5,,,
5/20/24,1037,32.5,,,
5/21/24,1016,29.5,,,
5/22/24,946,33.5,,,
5/23/24,803,33,,,
5/24/24,788,33.5,,,
5/25/24,798,29,,,
5/26/24,792,26.5,,,
5/27/24,685,29.5,,,
5/28/24,378,30.5,,,
5/29/24,514,31,,,
5/30/24,526,31.5,,,
5/31/24,551,32.5,,,
6/1/24,547,33,,,
6/2/24,595,32.5,,,
6/3/24,631,31.5,,,
6/4/24,632,32,,,
6/5/24,625,30,,,
6/6/24,618,29.5,,,
6/7/24,622,29,,,
6/8/24,608,31,,,
6/9/24,593,31.5,,,
6/10/24,580,32,,,
6/11/24,559,31,,,
6/12/24,534,31.5,,,
6/13/24,525,31.5,,,
6/14/24,527,31.5,,,
6/15/24,500,31,,,
6/16/24,508,29,,,
6/17/24,530,30,,,
6/18/24,534,30.5,,,
6/19/24,527,31.5,,,
6/20/24,524,30.5,,,
6/21/24,514,31.5,,,
6/22/24,526,30.5,,,
6/23/24,505,29,,,
6/24/24,503,29.5,,,
6/25/24,509,30,,,
6/26/24,504,30,,,
6/27/24,530,31,,,
6/28/24,502,32,,,
6/29/24,518,31.5,,,
6/30/24,520,30,,,
7/1/24,521,30,,,
7/2/24,513,30.5,,,
7/3/24,545,30.5,,,
7/4/24,515,30.5,,,
7/5/24,519,28.5,,,
7/6/24,538,29.5,,,
7/7/24,516,31,,,
7/8/24,537,31,,,
7/9/24,555,30.5,,,
7/10/24,560,29.5,,,
7/11/24,537,30.5,,,
7/12/24,562,30,,,
